Latitude,Longitude,Altitude,Direction,Slope
-25.714844,27.784241,1183.0,301.37,-0.01469
-25.713981,27.782021,1182.0,293.34,-0.00413
-25.712908,27.778081,1183.0,286.82,0.00243
-25.711692,27.773596,1178.0,286.75,-0.01066
-25.709925,27.766662,1178.0,285.79,0.0
-25.709107,27.763666,1180.0,286.86,0.00638
-25.708438,27.761139,1184.0,286.37,0.01516
-25.707185,27.756504,1181.0,286.7,-0.00619
-25.706468,27.754649,1181.0,293.22,0.0
-25.704923,27.751604,1173.0,299.38,-0.02285
-25.703457,27.749452,1175.0,307.09,0.0074
-25.701717,27.747387,1172.0,313.08,-0.01059
-25.699906,27.745417,1167.0,315.57,-0.01773
-25.698344,27.743753,1166.0,316.17,-0.00415
-25.696662,27.742516,1164.0,326.47,-0.00891
-25.695155,27.740774,1166.0,313.83,0.00827
-25.694485,27.73868,1165.0,289.55,-0.00449
-25.694575,27.736627,1169.0,267.21,0.01942
-25.69605,27.732452,1175.0,248.59,0.01335
-25.696916,27.730666,1177.0,241.71,0.00984
-25.698007,27.728483,1179.0,240.99,0.008
-25.70005,27.724446,1184.0,240.68,0.01078
-25.702216,27.720127,1188.0,240.9,0.00808
-25.704746,27.715093,1191.0,240.85,0.00519
-25.706727,27.711175,1196.0,240.7,0.01111
-25.708826,27.706994,1200.0,240.87,0.00834
-25.710294,27.704062,1205.0,240.94,0.01488
-25.713447,27.697818,1210.0,240.73,0.00697
-25.714789,27.695141,1204.0,240.91,-0.01955
-25.71624,27.69225,1196.0,240.88,-0.02413
-25.718042,27.688692,1201.0,240.66,0.01223
-25.718959,27.686846,1202.0,241.13,0.00474
-25.720095,27.68459,1206.0,240.8,0.01545
-25.721128,27.682526,1208.0,240.95,0.00846
-25.722142,27.680502,1207.0,240.92,-0.00431
-25.72371,27.677369,1207.0,240.95,0.0
-25.724772,27.675276,1209.0,240.61,0.00831
-25.725824,27.673177,1211.0,240.91,0.00831
-25.726976,27.670891,1214.0,240.78,0.01143
-25.72842,27.668032,1216.0,240.72,0.00609
-25.73023,27.664304,1217.0,241.68,0.00236
-25.73197,27.660197,1218.0,244.81,0.0022
-25.732979,27.657354,1222.0,248.5,0.01307
-25.733712,27.65512,1226.0,249.99,0.0168
-25.734497,27.652284,1229.0,252.92,0.01009
-25.735052,27.650106,1230.0,254.2,0.00441
-25.735501,27.647998,1229.0,256.7,-0.00461
-25.735951,27.645636,1229.0,258.06,0.0
-25.736294,27.643466,1226.0,260.05,-0.01359
-25.736916,27.637904,1226.0,262.92,0.0
-25.73701,27.635432,1228.0,267.58,0.00807
-25.737086,27.63106,1227.0,268.89,-0.00228
-25.737157,27.623859,1219.0,269.37,-0.01109
-25.737192,27.619178,1215.0,269.52,-0.00853
-25.737216,27.614136,1208.0,269.7,-0.01386
-25.737269,27.608877,1203.0,269.36,-0.00949
-25.737313,27.602516,1199.0,269.56,-0.00628
-25.737354,27.59751,1201.0,269.48,0.00399
-25.737375,27.595136,1198.0,269.44,-0.01262
